xlinkID	xlink_1	xlink_2	xlink_3
481	41824	61729	78825
482	44877	45569	66681
483	3147	31530	45820
484	14392	64446	76348
485	12635	34787	36376
486	61161	73086	0
487	23243	33296	70770
488	53835	57255	75929
489	4330	11787	11944
490	37528	57288	76887
491	17101	55329	77819
492	1799	38650	45117
493	32226	37549	56010
494	35269	57079	73344
495	15970	23018	68483
496	496	62261	0
497	21142	53723	66682
498	27158	39358	45221
499	499	12072	0
500	53488	61866	74472
501	9417	50290	75281
502	51729	75129	0
503	47482	56457	72326
504	33171	44508	75144
505	21997	24133	25993
506	52014	55273	71346
507	3000	30453	55637
508	11860	30280	44827
509	509	33561	0
510	510	9927	0
511	3077	6987	77037
512	33918	50263	77291
513	61510	61566	70942
514	514	1859	0
515	28107	51077	70734
516	364	48973	70228
517	517	67517	0
518	9782	52962	68776
519	24685	32189	50919
520	51026	57161	71337
521	13700	40410	57063
522	17644	18733	69719
523	21224	37686	38198
524	29046	69691	0
525	65346	69177	0
526	627	34797	64723
527	27512	46141	70842
528	9893	72270	78512
529	47691	70040	72421
530	10882	17967	65022
531	17797	26132	47403
532	532	46987	0
533	31602	50829	51116
534	3701	58441	71174
535	535	38523	0
536	536	28910	0
537	537	2403	0
538	13171	41613	61747
539	36649	49701	63766
540	540	43878	0
541	9620	17538	62332
542	73432	74013	77015
543	21943	27641	77086
544	544	14291	0
545	9449	62560	64006
546	25935	34303	41402
547	64591	68019	0
548	60543	60780	69061
549	10467	41620	57832
550	24381	70054	71145
551	15473	38880	74733
552	43836	47599	59802
553	46741	55108	71864
554	11312	32042	37551
555	329	1015	68486
556	556	36920	0
557	26252	35704	69905
558	19773	28918	69949
559	33492	45901	72742
560	30203	47097	58228
561	36358	40084	61177
562	34567	35454	66683
563	4002	38051	0
564	1879	43308	49365
565	9101	37131	74388
566	725	27032	0
567	40832	47820	52716
568	5542	62682	79798
569	11326	16215	38293
570	25690	46122	57892
571	571	59829	0
572	14759	54122	74327
573	56000	66337	0
574	574	15220	0
575	20524	24807	35060
576	6877	57149	60423
577	7421	69949	72463
578	48595	50490	56802
579	54450	57058	72133
580	15467	58833	78570
581	19026	41261	51726
582	276	74803	79608
583	9657	34279	42191
584	66700	67831	78678
585	3419	15852	79858
586	7565	17558	65407
587	7132	17441	34676
588	588	10360	0
589	18849	45156	66660
590	2145	17524	51811
591	54066	75992	76861
592	4161	44295	65770
593	29497	54487	77258
594	28862	29957	44436
595	18424	27136	73085
596	18079	36408	76844
597	40186	45586	0
598	598	42992	0
599	599	64780	0
600	44805	64120	73583
601	857	33763	38840
602	6147	9560	14581
603	27711	66953	67387
604	20547	69541	78150
605	14362	42560	58823
606	5562	49340	60427
607	32100	64744	68361
608	13286	14397	56092
609	1144	60901	63394
610	11425	49241	58659
611	8910	71232	80565
612	7066	53649	62337
613	11690	21472	48144
614	2147	26630	54292
615	49314	71278	0
616	31327	37171	49400
617	20026	33546	39662
618	1402	38608	79003
619	754	36895	55930
620	7755	35214	39960
621	18801	19357	45995
622	57621	61440	0
623	24409	25128	72260
624	15093	63443	74672
625	9179	38241	55646
626	8803	54845	55491
627	526	36335	45562
628	628	28083	0
629	13905	34172	67862
630	28747	35341	77562
631	1628	21222	56398
632	3596	38396	50200
633	55915	70103	77995
634	36969	40360	76038
635	11450	18557	24405
636	28916	64115	0
637	24451	51151	57631
638	638	77220	0
639	38870	73272	0
640	70549	75338	79938
641	23445	50615	0
642	36936	46170	0
643	1309	10443	69729
644	18744	21357	46639
645	6212	34857	45863
646	19614	42835	73265
647	3346	35894	45464
648	14450	60710	62772
649	34052	67493	68952
650	43317	43407	56859
651	21809	31479	53269
652	2430	49690	70359
653	25659	63324	66830
654	60715	63332	63842
655	2703	31282	35085
656	33862	59260	71912
657	16069	59954	73900
658	55071	60412	0
659	52753	55070	69696
660	26976	33812	40683
661	14902	45208	72632
662	41185	54146	57950
663	21340	62110	0
664	8344	32552	78998
665	13524	38555	55148
666	59565	70356	71645
667	667	49017	0
668	14847	44944	62938
669	10749	24650	70815
670	3156	48426	79569
671	17227	31570	65521
672	31414	36813	39469
673	29374	46372	71085
674	45845	59645	78920
675	221	24927	54296
676	19175	21226	0
677	830	9961	15867
678	7155	12753	38019
679	66215	69829	73728
680	43015	51346	53243
681	1251	1442	3600
682	9485	54351	0
683	41674	42134	50319
684	18402	63929	74149
685	298	45279	66142
686	1602	33960	47949
687	1127	23374	79389
688	44553	52981	68734
689	19166	61669	78322
690	20314	25927	57475
691	27356	30795	69122
692	692	24676	0
693	942	27965	0
694	28052	40053	59956
695	190	29758	61856
696	26058	34839	49496
697	47732	61395	75153
698	698	55734	0
699	10071	26422	54556
700	23197	36762	54070
701	59301	62512	76175
702	29669	62969	78220
703	703	38476	0
704	26628	49274	53555
705	18450	19213	47576
706	18131	30983	53525
707	5813	32098	40909
708	25244	26482	45349
709	32462	48364	72207
710	28253	30306	73165
711	14223	32362	68607
712	4657	11502	77534
713	42686	60052	66148
714	54001	63367	64162
715	57695	73201	76281
716	4952	7370	55944
717	40230	60362	72460
718	17302	32789	78896
719	75	35908	46128
720	5483	18795	67961
721	2708	25088	51601
722	21649	30999	55939
723	9031	10761	12674
724	40518	58122	80014
725	566	25881	0
726	32234	70059	0
727	51225	56899	66529
728	20767	28478	45023
729	5699	15505	37032
730	36699	55677	66982
731	8039	25954	65533
732	3212	13225	51174
733	9499	32685	65517
734	31007	46904	0
735	2982	77875	0
736	4788	25980	35116
737	16172	49203	79539
738	12851	44460	76246
739	739	60152	0
740	63179	0	0
741	741	23803	0
742	742	57571	0
743	8105	27121	46493
744	35739	44040	63721
745	22975	39413	67219
746	6028	14063	43863
747	35870	57698	78499
748	13322	19855	32902
749	4712	48587	57541
750	25112	28977	55504
751	751	1784	0
752	10157	63897	71796
753	9909	24483	32651
754	619	39345	76283
755	11882	48103	0
756	56428	74567	77169
757	8405	47840	79153
758	16316	19794	50289
759	15939	17259	60251
760	22068	28667	29007
761	4468	30343	31428
762	46036	67638	0
763	17713	51136	72249
764	34305	70403	78034
765	12189	21484	80521
766	35536	59488	59964
767	30384	38952	63323
768	18070	37616	74926
769	1907	15709	77541
770	29471	63007	68024
771	6057	7401	46886
772	43741	74105	74378
773	17882	31129	0
774	23899	55517	73543
775	13957	61520	67089
776	15202	16605	68535
777	1185	16820	65167
778	34111	39504	69320
779	34679	58845	77779
780	26182	44955	47506
781	34890	57826	67907
782	16767	52319	70124
783	5063	17986	51888
784	15969	51140	52585
785	30441	46854	53196
786	349	20774	68349
787	45072	72325	73933
788	11931	34556	75290
789	9048	52560	77757
790	4080	27218	29715
791	62402	69771	72515
792	371	6221	56136
793	1768	42972	67077
794	33685	44967	51566
795	20723	73768	75684
796	49632	49945	78774
797	3618	46701	53958
798	14653	26565	34604
799	1966	63491	68167
800	800	63515	0
801	9401	32238	53024
802	28516	55761	61304
803	3867	5846	43005
804	30359	38033	55287
805	39238	40120	50955
806	806	62098	0
807	11758	17334	39279
808	3792	50550	52803
809	20321	34206	48194
810	14331	66130	69056
811	34767	39857	74700
812	8512	26683	37230
813	47912	64901	67484
814	96	26759	53346
815	48963	66026	74915
816	55271	66065	76613
817	25029	28419	28591
818	33453	65217	71732
819	819	59053	0
820	9197	9613	19339
821	43002	61984	66057
822	8139	44151	74903
823	19015	22603	55706
824	2399	51760	63266
825	35291	47876	79674
826	6728	45248	72269
827	8627	20775	0
828	17518	27985	56114
829	36440	44652	67604
830	677	11483	74146
831	16433	36905	61214
832	11563	59677	70241
833	5436	44326	71970
834	2509	50634	0
835	471	27331	52931
836	25958	45036	64584
837	6072	10654	42470
838	45809	50339	70046
839	26147	63585	66565
840	21897	37572	39719
841	12545	52909	74772
842	1278	31783	71242
843	48137	61950	79936
844	57373	59192	61335
845	11	59278	0
846	17678	33789	78619
847	23778	31177	53060
848	848	10994	0
849	61556	62725	0
850	4357	26592	49989
851	44759	52850	65190
852	26238	28775	64097
853	21	10318	74974
854	23890	31761	79125
855	23591	46766	74655
856	22601	44297	52529
857	601	5053	6107
858	26738	28507	34079
859	46569	63586	75232
860	27836	51686	80071
861	20033	25262	55978
862	5744	23293	29925
863	31260	54443	73908
864	14013	24566	70438
865	7597	49111	62823
866	30578	48547	68425
867	7252	58331	0
868	43886	65633	80552
869	39726	55724	59124
870	36557	37676	50382
871	55207	70659	71462
872	6891	57144	62744
873	35545	36907	55198
874	874	78189	0
875	875	41887	0
