xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
3762	5909	10192	9450	7014
5909	3762	12971	14007	6364
11110	15712	1676	3890	15509
15712	11110	15754	12947	12203
12150	6345	3086	10853	14348
6345	12150	6860	2983	1610
3465	10764	9319	14255	9319
12913	12913	12913	16080	9888
13456	11019	14881	14296	7737
11019	13456	14881	11991	153
5531	6260	673	4856	3900
6260	5531	11561	5590	11561
4296	9869	7034	8689	7122
9869	4296	10369	9869	9869
14231	380	8657	12763	14071
380	14231	15550	9579	8996
4590	13610	13308	6554	14868
13610	4590	1723	9445	4448
14601	1364	880	16062	1376
1364	14601	4780	4262	9213
2713	3708	8858	2689	11480
3708	2713	3176	3028	10502
7980	708	15818	7980	7980
708	7980	11309	15071	719
5116	4707	2688	7831	64
4707	5116	12760	2688	845
11157	6496	16008	11783	11783
6496	11157	9112	4617	13299
3914	11380	10408	1317	11433
11380	3914	4581	9187	12920
5289	9073	4562	12822	10068
9073	5289	8836	16084	10039
9462	14164	15707	9462	9462
14164	9462	8708	7751	3754
301	2457	1326	2457	15743
2457	301	301	2130	10651
10400	46	6509	7481	1752
46	10400	7115	15401	14620
2688	5116	4707	9924	8591
773	4990	15475	4298	7831
12058	2631	14612	15093	4872
2631	12058	2393	5888	11342
11381	14563	14479	9196	6642
10592	7503	13849	6315	14278
7503	10592	14278	13790	2967
2393	2631	15235	3648	9814
11186	9716	9315	15543	323
9716	11186	7025	13790	1386
61	8144	14499	11184	8997
8998	11468	8532	9463	7202
11468	8998	11468	11468	1748
11663	3485	11268	8628	15093
3485	11663	11872	11686	11268
11645	6824	8331	5721	5978
6824	11645	8331	14154	15201
7034	4296	13496	15166	14926
15444	8798	5037	2767	16030
8798	15444	172	8968	1750
7122	309	4296	2949	456
309	7122	5952	13540	9313
1520	5594	7684	11320	3242
5594	1520	4308	3108	14450
6557	12320	13145	15900	7278
12320	6557	8481	3900	15943
1308	10476	10851	2863	880
10476	1308	10258	6812	16073
14199	5944	6925	14997	8855
5944	14199	6475	13769	3816
16057	9685	4254	14660	15166
9685	16057	9313	6278	8286
2572	8198	5766	5253	11115
8198	2572	1494	1910	964
840	13095	9432	3180	12443
13095	840	4011	15282	2411
10693	2371	13716	7131	1021
2371	10693	7131	7647	15995
13827	14525	13827	13827	6560
14525	13827	10995	14867	850
9185	9185	9185	12043	63
6363	7356	3089	751	6673
7356	6363	13823	14672	0
5550	12149	5311	5065	13109
12149	5550	4173	4750	1822
8343	14653	12193	8343	8343
14653	8343	7300	3721	8104
810	14461	10018	7569	5379
282	2530	15976	2541	237
2530	282	7464	8595	2130
13086	3498	14143	8204	3498
3498	13086	252	4298	13086
5379	13953	8104	7415	810
13953	5379	15306	11766	14699
9778	14341	606	14841	2430
8217	11137	15388	8882	2358
11137	8217	12760	3106	12760
12174	7883	6308	7806	15201
7883	12174	7537	4754	2758
5732	11001	8589	10115	12576
11001	5732	16104	5059	0
3195	10374	5843	4934	2610
10374	3195	13955	13558	11534
13075	7848	14531	1038	10875
7848	13075	10323	6630	8722
10295	7548	13801	6700	0
7548	10295	8316	16043	539
10397	8589	12041	3149	15453
8589	10397	9196	5732	9722
14531	13075	12630	9549	8879
12691	6081	12452	2755	11802
6081	12691	14233	4551	8810
14416	12705	12705	14484	9247
12705	14416	14416	4033	8286
1717	11640	1422	4551	9591
11640	1717	4042	11804	14484
8689	9591	4296	9999	1056
9591	8689	12999	1717	6174
14462	56	6828	262	5367
56	14462	262	9016	250
11673	2330	16060	8532	15158
2330	11673	12305	12569	10719
9213	3518	12119	971	1364
3518	9213	12280	534	2161
12119	12280	9213	8587	2158
12280	12119	3518	3696	10239
7466	1815	855	4906	0
1815	7466	13008	6668	213
2908	13492	5988	2708	1468
13492	2908	15561	9736	10796
7757	5403	4321	667	13230
5403	7757	1042	15819	15819
10786	6187	9248	6355	12110
6187	10786	8239	10489	4930
13217	5031	1376	665	6518
5031	13217	7431	7431	5838
