X Y Z
166.164216 170.877155 204.072937
189.085577 182.443925 39.897176
175.550018 180.588161 40.759600
214.009279 157.220400 226.606368
215.338830 139.041144 214.239751
211.509384 164.191755 35.518178
204.346181 153.553069 57.647260
238.157037 177.713893 233.708623
255.676056 162.142614 238.412775
221.631222 142.610129 25.690162
232.741424 157.842571 41.999014
215.614947 126.848878 225.030586
234.777722 135.255632 236.039611
254.850227 93.254060 24.742573
212.062206 141.378405 23.300707
192.845578 154.938087 11.905338
31.851713 182.403488 239.990983
25.669945 202.331813 239.383836
24.424625 178.008670 31.118807
24.872309 174.062808 31.235669
254.349919 197.024609 210.919606
5.009798 196.674132 203.643275
96.797977 162.131207 219.869007
103.333281 154.533777 241.794790
44.218954 167.845445 38.008156
29.811245 173.215563 1.602130
67.941435 131.402646 26.143001
80.891363 163.917402 38.654529
47.097135 118.830389 44.902460
33.114924 154.702864 41.770366
80.141232 165.621777 24.378760
61.167402 155.322049 14.209820
104.977380 158.000854 42.972630
98.963431 167.112639 75.432477
69.263228 127.995192 39.266180
40.340985 154.480974 17.300832
92.548546 184.351811 254.802529
93.894984 190.210857 236.268115
88.865331 125.303066 25.717623
96.263875 122.514958 17.855199
77.651148 159.052943 26.157335
84.551128 200.637656 22.556524
96.673487 206.332322 209.913667
87.077870 185.487923 214.139621
110.051071 124.051840 247.457329
110.241359 163.934536 248.556131
99.181779 170.585853 241.433377
105.507639 181.314010 27.610180
101.022113 171.545230 11.666262
153.832328 175.764570 244.366176
177.030458 171.287356 220.648700
162.360255 136.557484 222.335108
153.216767 204.742489 249.967274
152.004532 203.690221 1.580034
169.006702 193.463096 213.010616
177.274745 206.080399 214.450256
176.109139 143.542834 24.153101
170.669289 151.522289 22.440403
163.090982 165.361716 226.957613
150.280657 143.602329 228.955749
169.861032 227.155010 0.999442
157.559509 219.988189 1.475527
178.008868 168.905851 8.663225
190.192226 165.742719 17.116020
207.110484 184.804537 234.163863
224.410307 184.247229 245.563107
188.965972 182.054161 225.443612
210.214978 167.102204 82.143796
237.152942 144.869164 71.949347
228.423706 190.725638 223.142386
235.351770 190.683298 241.379684
