ID X Y Z
292 24.709811 94.417798 10.767905
293 25.151703 95.424995 21.695268
294 24.641614 95.159911 33.086947
295 24.728145 95.092041 44.801108
296 24.954255 94.307162 55.920105
297 24.352143 94.941513 67.264865
298 25.241973 94.669296 77.366682
299 25.605514 94.702233 88.875330
300 25.629790 94.968889 99.758566
301 34.668677 4.874205 99.453543
302 34.709812 4.417797 10.767905
303 35.151704 5.424994 21.695268
304 34.641614 5.159910 33.086947
305 34.728145 5.092040 44.801108
306 34.954256 4.307161 55.920105
307 34.352144 4.941512 67.264864
308 35.241973 4.669295 77.366682
309 35.605514 4.702232 88.875330
310 35.629791 4.968888 99.758566
311 34.668677 14.874204 99.453542
312 34.709812 14.417796 10.767905
313 35.151704 15.424993 21.695268
314 34.641615 15.159909 33.086947
315 34.728145 15.092039 44.801108
316 34.954255 14.307160 55.920105
317 34.352144 14.941511 67.264864
318 35.241973 14.669294 77.366682
319 35.605514 14.702231 88.875330
320 35.629791 14.968887 99.758566
321 34.668677 24.874204 99.453542
322 34.709812 24.417795 10.767905
323 35.151704 25.424993 21.695268
324 34.641615 25.159908 33.086948
325 34.728145 25.092039 44.801108
326 34.954256 24.307160 55.920105
327 34.352143 24.941511 67.264865
328 35.241973 24.669294 77.366682
329 35.605514 24.702230 88.875330
330 35.629791 24.968886 99.758566
331 34.668677 34.874204 99.453542
332 34.709812 34.417796 10.767905
333 35.151704 35.424993 21.695268
334 34.641615 35.159908 33.086948
335 34.728145 35.092039 44.801108
336 34.954256 34.307160 55.920104
337 34.352143 34.941511 67.264865
338 35.241973 34.669295 77.366682
339 35.605514 34.702231 88.875331
340 35.629791 34.968887 99.758566
341 34.668677 44.874204 99.453542
342 34.709812 44.417797 10.767905
343 35.151704 45.424994 21.695268
344 34.641615 45.159909 33.086948
345 34.728145 45.092040 44.801107
346 34.954256 44.307161 55.920104
347 34.352143 44.941512 67.264865
348 35.241973 44.669295 77.366682
349 35.605514 44.702231 88.875331
350 35.629791 44.968888 99.758566
351 34.668677 54.874206 99.453543
352 34.709812 54.417798 10.767905
353 35.151704 55.424995 21.695268
354 34.641614 55.159910 33.086948
355 34.728145 55.092041 44.801107
356 34.954257 54.307162 55.920105
357 34.352143 54.941513 67.264865
358 35.241973 54.669296 77.366682
359 35.605514 54.702232 88.875331
360 35.629791 54.968889 99.758566
361 34.668677 64.874206 99.453543
362 34.709812 64.417799 10.767905
363 35.151704 65.424996 21.695268
364 34.641614 65.159911 33.086948
365 34.728146 65.092042 44.801107
366 34.954257 64.307163 55.920105
367 34.352143 64.941514 67.264865
368 35.241973 64.669297 77.366682
369 35.605514 64.702233 88.875331
370 35.629791 64.968890 99.758566
371 34.668677 74.874207 99.453543
372 34.709812 74.417799 10.767905
373 35.151704 75.424996 21.695268
374 34.641614 75.159912 33.086948
375 34.728146 75.092042 44.801107
376 34.954256 74.307163 55.920105
377 34.352143 74.941514 67.264865
378 35.241973 74.669297 77.366682
379 35.605514 74.702234 88.875331
380 35.629791 74.968891 99.758566
381 34.668677 84.874207 99.453543
382 34.709812 84.417799 10.767905
383 35.151704 85.424996 21.695268
384 34.641614 85.159912 33.086948
385 34.728146 85.092042 44.801108
386 34.954256 84.307163 55.920105
387 34.352143 84.941514 67.264864
388 35.241973 84.669297 77.366682
389 35.605514 84.702234 88.875330
