xlink_x	xlink_y	xlink_z
30.2946	122.1226	101.7582
1.6068	9.0314	35.7098
66.5389	104.2572	144.9137
224.3469	177.2772	168.3577
176.9043	63.6764	69.3192
6.2823	225.8250	51.2151
16.5044	76.8503	192.2499
129.3178	7.1969	128.4647
107.2484	146.5208	209.4514
162.7969	149.0087	217.0657
98.4862	209.8271	38.6901
97.9964	211.2168	129.0849
196.6098	13.2367	148.2204
183.6121	43.5712	145.5390
137.7215	90.1465	168.8738
238.2418	3.6105	196.8543
249.0382	114.4085	75.0343
126.8447	165.7169	28.3629
142.1698	60.0021	42.0240
173.2486	60.3186	222.7054
46.5894	171.7535	80.6444
134.2942	175.2000	78.5339
135.4349	35.2760	233.3311
224.3580	174.7677	146.3509
46.9693	222.7415	219.5197
81.8845	236.1786	131.4770
251.5500	252.6766	30.7768
119.4684	18.8756	79.2957
205.5889	124.9857	178.4686
157.4425	25.4156	113.9768
232.8035	104.1768	214.5702
106.7752	255.8323	53.7978
182.9404	85.0768	243.3403
49.5514	51.3269	205.1502
243.9566	254.6791	100.2950
62.0165	35.2301	83.9183
165.6348	114.5196	147.5039
133.5509	212.2071	199.5805
40.1508	71.8230	15.8505
64.1197	117.5552	28.4632
189.0691	128.8752	93.6544
101.7893	174.5876	18.1682
245.4786	50.6370	116.1787
29.1181	33.8383	250.1090
75.0158	26.1045	51.0363
10.6059	119.4727	48.9724
107.7960	88.5083	230.4719
244.5561	173.4610	70.7305
53.6945	24.8731	139.9779
225.6878	78.5070	134.0614
247.7527	249.3321	62.0225
96.8422	230.1790	123.2478
20.3044	90.5517	78.0246
54.9244	219.1472	250.0944
15.2104	160.5975	81.6283
139.0756	45.3491	85.6891
67.0000	181.0000	228.0000
122.3125	219.7735	66.1398
23.7129	52.1423	80.8479
72.9742	1.8112	102.2290
92.3321	78.3347	92.9241
134.2585	53.2391	193.3346
96.3549	53.3299	65.8312
218.5081	151.0055	127.7929
18.1216	68.6594	46.6662
242.0079	217.3893	20.5003
196.2868	51.7017	134.3613
236.0301	130.9982	145.5991
237.2197	248.6344	99.1944
41.3053	103.1895	146.7965
12.4033	192.6808	148.4675
37.9215	175.9520	95.1469
37.5648	68.8010	71.6974
150.9036	18.8916	8.8268
114.3813	184.4833	56.9811
208.3691	27.1994	174.6258
59.4348	172.2956	22.0115
106.4496	53.8287	48.2628
193.2432	9.6914	101.1845
149.4991	71.5921	127.4228
157.2298	146.2761	183.3689
90.3567	102.7106	24.4816
28.2598	137.7139	246.9965
63.7767	31.2098	25.0685
166.3671	64.8730	236.2357
53.9372	62.5477	178.4755
199.3966	77.5118	131.2291
159.4062	200.9290	211.7325
203.6427	246.7469	86.8210
147.8843	1.6447	34.9556
221.1270	72.8776	123.4276
254.2704	47.0036	7.8720
145.2325	240.8492	73.0157
144.6353	9.2603	2.6823
43.1358	246.4124	95.2632
210.2748	94.3152	112.7757
205.5447	32.5229	29.5117
219.1411	143.6748	92.3596
62.0405	16.6483	179.2582
193.2623	149.7912	141.0564
99.1777	210.7613	160.9852
51.5229	215.1993	52.0922
138.6814	0.4282	180.8523
233.0758	137.1101	102.3977
185.8488	181.1430	120.4789
246.4701	216.7022	75.1482
73.8453	63.1929	212.0269
93.8984	108.1033	107.2334
168.2566	26.1852	101.6566
93.9950	208.8125	53.1550
27.6631	196.8393	213.4437
99.1616	5.1958	185.8103
179.8852	9.3954	60.6561
234.9659	16.7523	219.9995
252.1515	67.2513	104.7624
202.5378	11.1506	151.5977
169.2254	236.8439	173.8679
14.9092	158.3861	251.9908
247.1744	207.1172	125.4843
98.4402	20.4251	232.4771
46.2006	214.1983	82.7004
170.2866	108.5239	19.7730
122.1005	62.5587	30.8772
89.1470	182.4763	131.9567
74.7012	36.4514	26.2203
238.6914	231.4662	178.2214
145.0909	100.5622	127.2337
156.6613	206.0391	91.7732
56.5688	255.5986	237.1248
138.3794	94.8889	251.7699
131.7918	194.5475	245.5339
210.0471	146.3253	91.0124
182.9842	106.0649	250.0633
195.3641	139.1047	110.9630
186.7980	28.4740	65.4893
236.5789	34.4943	164.2736
185.3192	165.3395	194.3611
201.5285	214.2476	127.2786
253.2956	2.0303	198.4075
69.9915	13.0339	1.1145
225.6645	5.5791	190.3351
118.3221	163.9400	198.9111
126.7370	20.3842	78.8133
157.9013	172.9251	99.4744
161.3600	25.6050	170.9729
228.6550	220.4814	159.0872
200.6698	68.9954	52.9126
213.2276	219.6677	240.3673
209.5122	105.8677	209.6248
72.0630	22.1362	249.8245
194.7431	44.7735	185.0241
202.2259	211.9689	220.9470
174.4608	61.6956	24.0584
125.3318	8.6170	76.6195
86.1415	71.9274	99.1806
205.0951	60.1951	209.3911
190.4502	156.8637	213.9633
175.0737	8.6072	255.6993
20.5728	104.6729	47.8797
82.3391	91.0288	2.3141
211.8005	4.2864	14.2443
210.7306	72.0887	235.8193
119.0057	161.1954	223.0471
13.4632	111.5570	238.0977
240.5594	96.1917	131.0039
214.7606	146.8359	25.4091
56.0338	28.7868	238.4330
58.9597	205.7241	157.2248
20.2929	212.6494	182.2053
213.8008	197.9825	39.4485
252.8879	252.0395	55.8643
75.8527	75.7272	16.4491
85.9344	141.9489	134.3238
7.4926	214.0359	163.2206
117.6598	207.6721	138.2356
61.5105	18.7372	217.4620
81.1783	235.8525	206.2045
168.6356	119.9082	186.4439
210.9774	20.3194	211.8068
9.6709	136.9471	121.9275
4.7994	237.3187	78.8080
93.7211	22.4094	115.2175
155.0700	186.8218	117.1982
190.0750	151.8849	219.8473
248.0533	30.2835	72.1055
139.7620	58.6234	89.6806
219.3635	171.8509	236.1710
117.3632	211.9297	238.7094
41.6118	213.8293	233.7259
228.4165	106.4064	198.9435
174.5585	161.5211	189.7538
194.2507	72.0687	50.0697
110.8453	236.7353	50.2420
106.0396	170.7020	35.5633
183.4369	30.4288	72.9132
130.4219	221.4315	92.2557
50.0683	249.1880	135.3858
108.4616	123.2493	123.6460
70.5488	27.7373	84.9505
57.5889	109.8315	20.9400
88.9572	205.7196	12.9650
122.8452	203.1765	141.6741
71.2298	2.1678	106.4922
198.3962	201.4658	184.5070
226.2600	40.9575	195.3223
227.7286	178.8319	248.1997
121.2616	135.0516	58.7631
125.2353	25.2592	43.8882
129.5870	116.7755	203.8871
217.2432	195.0870	159.5274
162.9159	57.0381	51.3946
114.6720	195.9638	198.0414
118.2051	80.9634	99.8753
89.2811	147.3064	187.4590
215.1865	246.2000	124.9172
69.4385	71.1988	189.7573
17.7203	25.0615	198.1160
200.2811	17.6603	7.4592
94.2423	76.6737	6.2406
17.5669	164.8228	85.8972
54.9003	62.3877	54.8670
204.6182	168.0687	118.4576
237.8452	140.8918	42.1705
202.1835	201.9114	89.8546
243.7745	54.1659	94.5832
189.4147	2.0583	56.2406
249.3713	122.4515	130.4305
110.2378	185.7399	25.4252
52.9398	144.8481	131.4468
217.5625	163.1211	132.8606
146.8514	142.7462	129.2996
123.2553	9.5584	170.1732
36.3735	49.1476	243.0459
196.2758	192.4417	50.5903
198.8182	11.7660	103.9538
134.2825	80.8147	220.3131
108.3525	59.0110	82.8914
128.9613	200.9938	235.6248
53.5661	27.5444	32.2304
122.7211	128.4837	20.1788
168.0415	216.5448	154.4415
194.7546	243.5922	42.1210
221.3886	172.8605	18.5262
158.7528	225.7866	33.3798
202.2111	229.1190	125.3906
242.7987	223.7714	216.1371
245.2813	173.0573	121.5823
110.7865	144.9876	234.1932
220.6738	55.4897	36.5744
179.9177	237.4409	178.6598
152.4816	99.5662	123.7245
200.6157	38.3700	242.4859
105.1004	15.8424	73.7286
16.2739	113.4265	240.0475
27.6350	35.4848	159.6338
169.7676	163.2324	63.9206
18.9749	32.6220	207.5825
94.0480	224.0442	211.1408
229.1407	75.1599	178.2098
230.6109	219.5614	91.9788
166.9420	200.8780	27.0815
87.8201	185.0080	205.2469
19.2384	246.9807	105.4536
145.4579	23.8603	182.4063
159.5030	253.8719	5.1085
167.2281	2.6180	18.9422
29.7498	24.0213	107.6308
157.5916	154.8164	83.2189
194.7273	145.5097	71.3299
178.9566	29.2717	59.5161
126.4679	211.1132	164.3451
190.0646	73.8993	36.9492
17.5918	205.4951	62.3600
53.4559	253.0403	114.0602
250.0101	177.9503	23.9314
171.4500	95.1368	249.1754
98.4204	125.9583	114.3420
104.2785	180.9425	70.2131
3.8875	231.0637	206.7821
148.9942	123.9062	194.4613
116.9702	221.4400	84.8174
184.6027	141.2358	247.5973
94.9903	228.2452	202.6538
87.6864	61.4265	88.8943
54.8068	22.1350	250.2461
164.0322	232.4410	42.4484
2.9268	144.0328	192.6341
73.2722	28.1267	153.8015
220.9393	169.4953	32.7186
150.4624	39.8743	40.3154
206.4848	121.0857	123.1547
191.6938	4.7821	104.3658
137.8073	218.2346	63.3017
149.6479	176.5754	145.0966
219.8687	96.4279	187.4653
208.5335	251.1192	85.5350
3.8147	86.7643	219.2085
30.8296	216.9261	233.5074
87.3328	239.8800	196.9708
37.9364	51.2421	95.0423
21.8409	185.6304	81.8770
16.5599	99.2446	132.3445
49.9457	72.5998	68.5695
252.0097	54.5569	111.8799
255.9554	136.1394	246.0963
39.6934	148.6874	163.0789
91.3914	33.9979	155.7946
114.0944	125.7688	176.5241
93.0989	41.9434	111.4852
242.8064	232.2900	230.0036
227.9897	127.0703	240.2198
140.4681	38.8422	156.7709
240.5876	57.5774	169.1237
120.2889	46.7670	78.6268
68.3424	32.8858	167.2340
123.7416	233.8003	116.8102
111.5302	194.0856	23.8587
110.4860	70.8177	139.8996
61.3811	134.7120	129.8545
172.0278	144.0262	43.7744
171.9469	156.9430	26.8720
249.7801	244.2019	243.0375
210.8567	209.1673	240.4886
205.2376	171.3787	25.6401
41.7984	205.8285	223.2641
151.5619	157.3002	223.2143
217.0167	177.7134	151.5720
10.7237	193.7299	23.9410
189.3885	99.2571	15.4315
103.7271	113.0714	116.7702
137.3003	194.1902	241.4983
201.1318	186.2793	224.1149
24.5228	245.7985	134.2049
162.9896	214.4680	174.4938
251.1664	161.9206	119.6921
187.7088	144.3953	70.6768
126.1828	223.6142	94.3940
176.7781	221.0053	68.4662
51.7412	113.2066	23.2424
253.0649	56.8196	83.0982
122.9761	58.2107	147.5554
91.0370	81.3310	37.8057
26.2505	196.0902	58.5154
95.8823	209.1508	125.7217
187.0028	23.5205	252.2633
94.1660	104.2856	65.4048
66.5723	228.1930	218.6470
149.6630	60.7638	95.1033
88.8359	186.9793	208.9279
78.3360	3.2964	129.6883
122.7042	34.5150	255.7266
4.0720	214.5046	64.6131
33.3635	214.5147	236.4950
81.0562	224.7668	2.8345
80.7747	202.2011	72.3872
173.4340	92.2804	159.6059
238.8027	168.1353	33.4085
111.6375	122.9911	106.7426
253.0611	48.5704	229.1600
62.9072	207.7989	1.8538
146.0539	225.1165	164.7712
163.9330	163.0126	115.7328
240.1109	36.4910	144.3073
218.0296	83.4616	57.1372
102.4992	107.4408	36.6235
102.4197	73.8655	42.8532
162.5470	213.0116	150.0251
213.0291	48.3296	153.2207
85.0160	40.6189	1.1543
115.2936	196.5595	193.3971
13.3974	52.5614	20.5987
74.1085	123.1261	174.8803
143.6316	97.5847	22.6867
160.5587	87.2218	48.0882
171.8717	52.6994	157.9950
3.6170	8.1497	220.9853
181.6363	120.8187	217.4377
133.7917	43.8531	33.4489
223.6595	74.3588	234.3072
188.9024	107.7529	106.3991
118.3564	184.2206	13.9118
40.6793	51.8585	244.8490
85.4980	158.8893	32.3478
235.5526	124.7462	82.6900
219.4082	86.7767	190.1914
149.4990	205.7759	61.2373
70.9795	115.1214	168.9157
214.1315	18.4117	57.4470
174.8948	144.8118	97.7604
252.5380	25.6174	172.9220
93.6523	121.5804	175.8877
15.7612	185.3597	58.2942
235.6933	83.3207	121.0868
10.3746	98.7768	122.5698
29.3509	144.9713	57.9114
28.7903	52.6745	233.1484
140.5976	186.9344	144.7441
71.8149	252.1531	83.6971
86.3153	30.7700	40.5614
219.3375	143.0856	211.4546
29.9205	8.9625	239.9114
16.7539	250.9065	4.7086
148.9389	161.4196	162.1478
159.2020	123.4743	79.9064
149.7940	186.7522	203.5341
213.2025	171.5039	200.1292
52.0906	22.8651	194.8188
170.3747	155.6210	32.6922
18.6681	173.6458	92.0871
206.2687	195.8180	183.2856
110.3992	231.0414	198.0731
249.6114	201.1193	42.5278
39.7636	47.0583	74.8221
246.8102	255.7010	8.2545
191.1099	22.2017	196.2963
124.9151	76.1351	182.6568
97.1097	126.1289	125.4281
214.9399	228.5240	10.5108
180.6141	14.4411	65.2245
94.1514	126.4605	168.2526
240.2658	154.2574	16.0485
87.2349	22.9970	188.9087
53.8994	239.0163	86.0700
21.0264	242.8173	204.1752
8.9200	20.0084	39.1063
54.5113	53.4655	181.0855
204.3175	188.5168	235.8758
187.7113	221.8454	62.2106
199.4494	11.9650	78.5361
98.6996	156.4682	111.8889
160.3181	36.9532	166.4137
181.9241	75.9981	177.1791
64.6509	72.5708	219.1324
190.5234	189.4338	14.9330
234.6648	57.1216	33.9468
149.0002	209.3619	56.5341
217.3735	204.9845	99.8852
7.0399	158.0118	65.4920
152.1642	177.4865	221.8480
134.2333	178.2273	221.7832
9.6992	75.1160	186.1363
50.5378	49.7977	53.3860
91.6473	191.8342	29.8804
112.4230	97.3268	252.2526
114.6073	109.5733	70.0182
117.0012	22.7167	190.4857
150.4356	185.2915	253.3843
37.0384	225.4162	102.3903
18.7873	94.0978	11.9328
133.0730	59.9341	68.8025
139.3532	160.7085	160.7639
103.2566	141.2190	119.6445
234.8936	198.2883	13.7544
162.2915	190.3128	217.4354
166.8270	144.5951	212.2214
125.4669	230.6882	184.5424
252.8336	152.9459	32.1659
14.5199	55.9471	84.8504
114.7954	254.9238	160.9605
90.3114	46.3939	48.1793
95.5984	146.6834	93.5199
88.5693	153.9295	179.0690
156.8786	141.7246	71.9537
122.5162	187.5116	244.5172
238.5755	64.4222	54.9464
174.0325	223.9940	163.6113
13.8748	193.6445	52.5364
60.9878	232.3244	17.8557
69.6797	230.2534	215.5865
12.4528	43.3431	97.6254
217.1556	103.9166	230.8236
13.2766	44.5493	45.3543
198.9353	97.9096	116.7872
12.9654	17.9120	60.1320
227.3723	96.5096	21.8820
231.6856	252.2115	70.0628
182.8307	219.4615	169.3619
56.2997	184.7003	63.2348
227.2562	110.5026	248.2690
134.3930	117.6402	99.2838
80.3339	107.8148	213.2832
241.4896	14.2328	192.8743
62.0426	152.3433	190.5614
112.0746	108.7652	246.8863
173.7685	124.2171	33.8024
149.9895	1.8440	249.4727
243.8570	238.4090	122.6861
95.5062	139.6144	178.7282
252.8067	134.1382	82.3693
29.6403	50.2901	224.1439
243.3396	172.8557	42.9318
97.2646	194.1972	122.4302
67.0652	3.8332	24.6414
129.8434	73.4929	47.2690
78.6973	197.5784	249.8956
200.1114	141.0421	142.5352
108.1461	68.3568	254.5050
81.7739	79.0054	181.2289
199.9262	106.5790	102.5888
128.4825	130.2125	224.1321
28.3184	146.0781	166.0400
105.6213	239.8270	52.5053
63.9639	243.2003	21.6167
126.3485	33.4607	41.3993
255.6383	156.8412	160.2513
105.9659	244.7148	236.0479
133.5600	107.4320	21.6510
72.3637	151.3304	250.4786
114.7685	87.9432	250.6334
195.6416	8.8321	126.7002
33.2892	48.9814	4.6549
191.7559	199.6505	123.6636
138.2989	70.8448	174.8167
237.8617	133.3111	133.2405
181.9243	112.2375	77.7917
32.9761	60.5939	6.0768
35.1388	6.0955	165.8907
175.2051	171.9541	204.6203
167.7488	58.7233	37.0540
38.0758	55.5380	6.1786
101.7871	42.9292	38.3905
120.7063	14.5179	192.6334
7.9421	6.8612	42.3752
178.1581	71.1105	131.1629
193.7992	18.3179	58.1820
115.5875	38.3438	28.0209
183.4467	90.8820	144.8901
108.4800	208.7196	193.3896
44.4572	2.1985	97.7350
183.4177	10.7977	63.2462
193.0003	217.0724	161.7697
71.3813	207.8805	89.6769
193.1799	98.6484	52.7983
46.5409	60.8248	184.4610
70.5730	122.1999	184.5016
216.0416	84.2905	135.0649
37.2030	197.1963	6.9152
28.6245	149.8746	93.1423
255.8267	101.3255	233.0330
188.1821	184.0954	152.1663
51.6612	175.5357	20.0872
32.9964	74.7598	241.9869
238.1994	216.8002	234.8143
227.6739	196.6826	166.3431
23.5333	9.5351	36.6306
23.8361	108.9524	129.2342
132.5836	114.4973	123.1399
29.6549	164.6597	47.9722
172.4283	166.8503	206.9790
166.6045	185.8829	157.0089
242.2203	113.9241	7.6004
72.4879	123.7718	195.4157
109.2247	16.8437	126.5284
213.0000	151.0000	179.0000
228.3549	62.0971	174.8460
6.6531	104.0074	82.0811
167.1113	169.5127	126.5799
57.6361	87.3926	157.8404
219.3365	143.0850	211.4582
71.5353	36.5649	22.6494
220.7846	55.4055	89.4090
232.7361	132.5178	15.9041
84.8807	170.5015	213.1371
8.7029	165.5000	189.8602
175.4858	148.2548	29.9949
161.4554	20.7966	39.1527
56.8595	0.9929	85.5230
21.0810	183.5258	223.5519
213.9519	23.8433	200.3852
156.9133	170.7065	152.8541
52.3605	31.4481	52.2761
75.0114	207.2294	116.1086
102.2770	199.3679	65.5352
176.9146	46.3622	71.7319
165.1501	73.1664	244.2371
44.9472	216.7893	216.4078
134.8494	71.1602	248.2997
125.8315	192.9825	105.4734
140.1045	215.0780	62.1460
225.5272	54.1681	68.8090
37.1782	38.8162	242.3030
103.0745	173.4835	115.2632
90.6023	71.2631	4.3981
48.8048	139.9081	35.0424
32.9954	150.6502	8.9598
187.6709	156.3501	77.0112
132.8957	10.2591	229.9982
43.7912	191.4591	68.9147
89.4738	91.0866	197.7973
13.2084	81.5766	23.5973
223.0670	23.2804	213.4725
240.9264	35.4931	182.2394
215.5234	215.7189	207.4021
133.9677	117.5336	191.3049
243.5907	143.6274	145.1685
56.9020	164.9104	79.2421
91.4080	39.2729	51.5304
84.2240	224.3850	24.0945
170.5407	142.9820	180.4956
17.6640	237.8282	30.7245
221.0276	196.2737	97.0268
239.6011	220.1470	240.3345
121.2354	190.1867	194.8069
80.0316	78.9583	117.0428
235.0831	197.5838	109.7131
231.6177	61.2904	169.1249
184.1727	156.2425	166.9799
156.3758	136.4558	70.7647
199.8659	251.5944	184.2903
11.6031	211.1931	22.6026
81.8440	92.8358	5.2821
32.4444	71.3653	76.4044
85.3895	234.5547	216.2438
247.5317	88.4076	156.3456
212.6631	54.6680	201.0274
223.1634	15.8589	157.7125
84.0793	37.5661	46.5882
225.0757	1.4206	235.3435
64.8929	68.1223	23.7428
87.6231	115.4123	124.9844
90.8067	190.1955	42.6505
135.3834	100.6568	177.6706
65.7800	104.7709	60.6491
71.5765	16.8109	148.6559
149.5594	245.7139	52.2724
192.6102	23.4460	154.9205
28.2462	236.4360	35.4734
108.3532	21.9320	175.6537
231.3078	12.7288	245.6799
242.3346	56.6510	198.4379
196.2302	243.7069	208.2127
193.1309	91.2059	31.2632
135.6326	3.4430	94.9406
186.9040	22.5930	185.5517
228.6567	201.3936	20.2793
32.0504	220.7966	116.7600
93.6013	204.9214	77.4661
12.9740	70.4848	27.9501
157.5120	172.7825	48.0383
209.5282	168.2530	200.7565
251.4236	24.1117	194.7369
91.2697	147.7599	48.0189
139.0726	187.5874	80.4036
60.0720	39.4383	144.6829
58.7629	213.9047	82.2572
94.0000	74.0000	129.0000
227.1231	92.8329	83.3775
158.5933	205.6021	115.4925
82.5199	92.5610	13.1868
90.1780	132.2173	133.3571
147.0449	42.2321	72.9722
241.8266	151.6297	141.1425
242.3609	214.0247	136.2847
212.6442	97.4824	167.2335
33.3762	136.9077	12.1865
99.5293	244.6984	80.0385
95.7764	124.0971	124.9778
91.7544	175.1782	215.6663
237.3506	128.0844	28.9819
232.4750	139.7365	36.1939
173.1869	55.5667	16.7534
209.7052	103.4499	131.8440
46.8760	71.5169	236.3477
196.5452	33.8917	14.5768
227.2605	174.8767	147.1579
191.4539	39.9378	123.8830
131.6240	129.3623	28.1600
218.8759	137.6155	166.8035
253.5221	47.8477	245.7160
225.9057	8.1344	209.1794
246.6967	46.2051	52.2742
206.9361	231.6507	70.8956
74.8756	0.8984	75.2441
5.5947	79.8328	150.0313
112.7566	33.3041	83.5314
58.4751	194.3679	11.3067
205.0879	245.2044	45.8249
204.0656	153.3459	134.1000
180.3137	19.2389	151.5232
155.5250	148.8301	143.0363
29.2921	42.1816	250.7914
33.7960	13.7658	77.9834
212.4543	57.8004	240.2920
18.4412	206.0466	31.2843
70.0494	163.7963	208.0449
222.0557	247.8553	182.3591
128.8874	136.3960	30.9743
188.4774	153.6458	21.1687
162.6898	10.3434	100.2538
28.8199	110.0577	112.6581
142.7679	104.4577	143.5892
98.8165	200.4241	152.2290
76.3738	9.5877	70.3475
168.1755	116.2113	206.3846
171.1828	121.2160	50.3422
25.5673	240.7300	106.1510
32.1390	16.8425	220.6469
63.1070	136.8605	34.2355
96.4358	32.8346	84.1278
85.1134	34.7259	229.5083
136.7476	170.0204	108.4057
119.2211	237.9749	137.5727
62.1797	102.7040	78.4816
235.7649	27.3892	208.0906
114.3306	161.1316	24.9980
190.3011	204.1226	36.8920
230.0320	105.7158	252.7792
26.7444	36.8137	203.8556
6.3452	218.4977	186.7406
26.1610	12.0415	235.8316
115.3933	146.1319	162.3926
53.8655	15.5875	243.1169
7.8715	175.1671	83.8318
111.6701	139.6253	18.4005
55.9527	138.0467	57.5427
89.8364	15.3702	121.9730
199.4314	53.3808	209.4852
46.6729	249.6815	130.0951
154.5466	139.1943	244.1900
196.6376	48.0891	18.7425
18.9211	189.9215	213.1649
72.7427	179.4173	143.3104
70.6095	50.8765	131.2171
224.2403	192.0357	170.4205
145.5449	64.4774	84.5583
98.7067	8.2537	179.5406
75.6079	97.2810	221.9956
204.4214	168.8984	15.5482
13.8304	190.4601	175.2460
158.8113	209.1565	20.8215
74.5888	107.2455	186.8034
242.1579	168.7696	112.1721
57.4418	242.6097	62.6690
47.0348	173.9523	102.7502
68.2428	200.8197	183.8437
90.3688	59.7959	48.1225
164.7939	8.8635	56.7985
254.0587	81.8185	93.8882
196.0625	128.2799	25.6269
166.7823	167.5658	43.6468
73.3825	198.3189	123.3537
141.3738	37.7488	77.2091
239.1908	123.6945	12.3506
62.7398	0.6813	67.3212
121.5025	153.6466	77.8638
164.0461	135.7411	91.4030
74.5920	62.3976	142.4659
199.3813	6.2079	88.3733
249.8520	131.2514	102.6822
120.7132	102.3013	216.3541
223.7201	81.2219	209.8131
84.8834	20.2279	35.9768
103.9663	49.9417	22.7829
255.8875	199.3626	236.5396
213.3067	94.1222	5.6465
136.3077	241.2196	94.1720
92.7084	183.2630	152.9305
55.4112	75.2682	194.6748
205.3383	227.2962	195.9560
168.8666	43.1788	239.1833
18.1072	26.6329	165.5109
159.6781	211.1469	107.3582
80.9331	189.6915	201.1037
182.3517	59.8966	67.3762
121.6664	72.5232	10.3175
236.9614	209.6628	197.0166
110.8404	99.6236	43.7171
197.1866	24.4521	105.0109
8.3950	103.2499	139.9611
132.0606	204.9568	167.9476
222.7945	110.4462	13.6654
246.5094	100.4569	164.0069
164.9921	4.7802	11.3325
152.5545	4.1388	32.7312
139.3074	181.5655	66.4035
227.2439	35.9700	217.0539
124.3837	3.6353	6.8416
27.9526	28.0986	248.7220
38.3979	39.9388	249.7821
180.8124	5.4836	195.2012
213.6219	124.2239	95.8811
27.9467	175.9320	35.1524
72.3356	114.5636	161.3444
243.7962	198.7056	201.4784
14.3763	115.8690	201.4188
39.2508	84.8856	99.0247
32.2342	126.0566	111.0671
211.2860	77.8966	17.5416
224.2285	105.0098	164.3085
119.3498	69.5054	16.3917
190.1494	202.9763	67.5309
249.2538	24.4873	231.1357
249.7839	194.7989	42.8400
138.7987	171.0613	69.9529
252.3353	64.6654	42.0686
22.3947	81.8582	216.3325
255.0419	153.5449	137.9752
33.1415	139.6256	169.1726
181.3152	240.7807	228.4428
138.3502	33.7706	139.4595
109.6210	114.5961	172.2049
3.2874	97.4512	227.0981
208.4129	67.7430	163.8437
251.3358	63.4695	209.2818
236.1214	145.3590	184.9955
218.0498	48.9170	247.8790
11.6548	17.8991	123.2689
196.6823	99.8655	180.1745
113.4750	165.4501	144.2557
16.0889	223.2273	185.6686
233.7991	187.6836	199.5737
199.4336	132.1577	38.9412
94.4551	142.4214	192.4814
167.4605	166.4712	253.4741
21.9841	110.0861	96.6459
74.0898	23.3735	172.7265
8.6848	129.8562	130.8940
201.2011	113.1005	8.8836
238.3103	210.8138	203.8609
156.7558	135.4321	130.7505
4.0032	5.0476	42.4114
97.3560	18.8168	82.6626
84.0490	63.1734	145.2251
244.4297	40.5168	1.0801
177.3311	216.0244	254.2376
76.4279	10.3460	61.3526
222.4873	207.5385	12.4021
138.7201	138.6378	122.6458
202.5262	108.4900	155.5737
54.7695	144.6891	172.9318
29.5473	50.0771	75.7292
75.0778	207.0292	80.6680
191.3106	37.4905	122.0030
154.9675	105.8316	60.1994
21.6650	28.3247	1.2402
132.9105	215.6193	139.5156
4.7679	161.3730	148.8558
71.3673	179.7864	105.9420
161.6683	15.2355	101.4598
113.5501	88.5367	86.6658
