xlinkID	connected_1	connected_2	connected_3	connected_4
2117	6467	10803	8348	15735
7405	7392	11834	1007	nan
11834	10778	11428	7405	10222
2091	12368	14417	10772	6079
12368	7344	6979	2091	8038
13774	10167	14730	332	6399
6399	14970	2012	13774	767
4990	773	8244	10565	1270
10565	896	1251	8492	4990
11358	12936	9113	8123	6609
8123	12827	11358	719	nan
5375	8040	562	6597	9168
6597	5179	7819	5205	5375
8339	15424	3704	15810	10572
15810	16001	8339	2340	13349
13349	2657	15810	251	11831
15427	2545	14498	13764	15278
2545	635	7705	15427	5862
12687	7793	1074	261	6781
6781	5568	2929	2004	12687
14479	12900	11381	9670	11591
9670	5823	882	204	14479
5878	14552	13515	6516	8005
14552	10486	9818	5204	5878
5492	5492	8445	2415	nan
6516	1000	9417	8003	5878
8003	13698	12203	6516	11427
2815	11650	868	15653	2062
15774	16128	5273	13300	nan
13300	13388	13076	15774	nan
8686	7552	9569	1193	3936
9569	3018	5795	10692	8686
14341	6921	7194	11802	9778
7194	3090	12087	14341	10149
3438	12592	11938	7516	1181
12592	3812	164	14510	3438
15900	587	6357	6557	7647
7647	5561	2371	15900	13148
11508	2232	4634	9573	nan
9573	4466	11508	1509	6518
13446	13000	5642	867	5861
3252	9360	10274	13971	11229
11229	12737	4955	3252	nan
2034	15984	8224	6571	9790
9790	2034	11299	4092	4007
4780	6192	1412	9026	1364
6192	5065	4457	4780	9974
12443	5988	840	13148	326
13148	12443	13148	7647	nan
6549	14655	11540	8173	15591
8173	9570	6549	2262	4439
2262	5931	8307	8348	8173
8307	3637	10669	2262	10615
40	180	9756	4894	nan
9756	40	11706	10964	12303
8262	13858	12491	11174	nan
12491	4520	9953	8262	10601
10995	7092	13227	3348	14525
3348	11288	10995	11952	16115
15957	1241	11317	3341	14262
3341	10848	4298	8723	15957
15401	187	11085	46	nan
187	15401	2853	10769	nan
12391	14417	6909	11085	5654
11085	7800	15401	8730	12391
5146	14432	754	8104	2954
754	15953	5146	10699	15306
13043	10803	8492	1965	1086
1086	12296	1926	13043	3862
8492	13282	13043	9484	10565
925	4840	10778	11796	5358
11796	1264	601	15882	925
14461	4128	810	10523	14262
10523	7305	4826	12349	14461
14214	4128	15997	14822	8839
4128	12545	14461	14214	16031
6422	1555	12012	12349	14983
14983	1512	8226	6422	8222
5770	8144	12633	11664	952
8144	5770	15893	12082	61
3850	11122	2915	869	10983
2915	257	3850	10149	11650
2755	6552	11342	12691	8750
6552	10689	2755	2308	12411
11401	6546	3090	12205	12990
12990	11401	3932	8559	4700
2855	1835	7331	1781	15787
7331	6785	10331	1835	2855
14738	11703	8073	11759	15543
15543	13096	14738	11186	14743
5909	3762	12971	6364	14007
3762	10192	9450	5909	7014
15712	15754	12947	12203	11110
11110	15712	3890	1676	15509
6345	1610	6860	12150	2983
12150	6345	14348	10853	3086
3465	14255	10764	9319	nan
12913	16080	12913	9888	nan
11019	13456	14881	153	11991
13456	14296	14881	11019	7737
6260	11561	5531	5590	nan
5531	4856	673	6260	3900
9869	4296	10369	9869	nan
4296	8689	7034	7122	9869
380	9579	8996	15550	14231
14231	8657	12763	380	14071
13610	4448	1723	9445	4590
4590	13610	13308	14868	6554
14601	880	1364	16062	1376
1364	14601	4780	9213	4262
3708	3176	2713	3028	10502
2713	11480	2689	8858	3708
708	719	7980	11309	15071
7980	15818	708	7980	nan
5116	2688	64	4707	7831
4707	12760	845	5116	2688
11157	6496	16008	11783	nan
6496	9112	4617	13299	11157
11380	12920	3914	9187	4581
3914	10408	11433	11380	1317
9073	5289	16084	8836	10039
5289	9073	4562	10068	12822
9462	15707	14164	9462	nan
14164	3754	8708	9462	7751
2457	2130	10651	301	nan
301	2457	1326	15743	nan
10400	1752	7481	6509	46
46	10400	15401	7115	14620
2688	9924	4707	5116	8591
773	4298	15475	4990	7831
2631	5888	2393	12058	11342
12058	4872	14612	15093	2631
11381	6642	14563	9196	14479
10592	13849	6315	14278	7503
7503	10592	13790	14278	2967
2393	3648	15235	9814	2631
11186	323	9315	9716	15543
9716	1386	7025	11186	13790
61	8144	14499	8997	11184
8998	7202	9463	11468	8532
11468	1748	11468	8998	nan
3485	11872	11268	11686	11663
11663	15093	8628	11268	3485
11645	6824	5721	5978	8331
6824	15201	14154	8331	11645
7034	4296	14926	13496	15166
8798	8968	172	15444	1750
15444	16030	5037	8798	2767
7122	4296	309	2949	456
309	5952	9313	7122	13540
1520	11320	5594	7684	3242
5594	1520	14450	4308	3108
12320	8481	3900	6557	15943
6557	12320	13145	15900	7278
1308	880	10851	10476	2863
10476	6812	10258	1308	16073
14199	5944	6925	14997	8855
5944	3816	13769	6475	14199
16057	15166	14660	9685	4254
9685	16057	8286	6278	9313
2572	11115	5766	5253	8198
8198	1910	964	2572	1494
840	9432	12443	3180	13095
13095	840	2411	15282	4011
2371	7131	15995	10693	7647
10693	2371	13716	1021	7131
13827	6560	13827	14525	nan
14525	14867	850	13827	10995
9185	9185	12043	63	nan
7356	14672	6363	13823	nan
6363	3089	7356	6673	751
5550	5065	13109	12149	5311
12149	4750	4173	5550	1822
8343	12193	14653	8343	nan
14653	8104	3721	7300	8343
810	7569	10018	5379	14461
282	15976	237	2530	2541
2530	7464	282	8595	2130
13086	3498	8204	14143	nan
3498	4298	252	13086	nan
13953	15306	5379	11766	14699
5379	8104	13953	810	7415
9778	14841	2430	14341	606
8217	11137	8882	15388	2358
11137	12760	8217	3106	nan
12174	15201	7883	6308	7806
7883	7537	4754	2758	12174
11001	16104	5059	5732	nan
5732	12576	11001	10115	8589
3195	4934	2610	5843	10374
10374	3195	13955	13558	11534
13075	7848	10875	14531	1038
7848	8722	10323	13075	6630
7548	539	16043	8316	10295
10295	13801	7548	6700	nan
8589	5732	9722	9196	10397
10397	12041	15453	3149	8589
14531	13075	9549	12630	8879
6081	14233	8810	12691	4551
12691	6081	11802	2755	12452
14416	12705	14484	9247	nan
12705	14416	4033	8286	nan
1717	11640	9591	1422	4551
11640	14484	4042	11804	1717
9591	8689	1717	6174	12999
8689	4296	1056	9999	9591
14462	56	6828	262	5367
56	9016	250	14462	262
2330	11673	12569	12305	10719
11673	2330	16060	15158	8532
9213	971	1364	3518	12119
3518	12280	2161	9213	534
12119	12280	8587	9213	2158
12280	3696	10239	3518	12119
7466	4906	855	1815	nan
1815	13008	7466	6668	213
2908	5988	2708	1468	13492
13492	9736	15561	2908	10796
5403	1042	15819	7757	nan
7757	4321	5403	667	13230
10786	9248	12110	6187	6355
6187	10489	10786	4930	8239
5031	13217	5838	7431	nan
13217	1376	665	6518	5031
14940	14672	11745	14940	nan
10960	11787	13604	6981	nan
13604	10960	1512	10018	4173
15807	12110	1332	11333	7062
7062	15724	10073	5655	15807
6354	13890	1562	3572	9654
13890	1161	6354	nan	nan
14306	4600	14306	10645	nan
13311	3843	6566	13311	nan
5931	6624	8348	2262	15735
15735	10803	2635	5931	2117
11699	15481	2618	1972	9421
9421	914	11699	5388	11743
14262	14461	2961	15453	15957
8431	5105	722	8595	2541
2541	8128	282	11890	8431
2844	4289	1715	6261	14757
6261	13049	2844	14463	nan
6595	6291	797	4718	5879
6291	6595	4429	6983	13351
13790	6720	4288	9716	7503
6720	3355	948	14349	13790
5879	10993	6595	797	15021
3648	2393	2834	5028	15277
5028	3648	13665	14099	3093
10215	10777	15650	3020	12801
10777	10668	933	4838	10215
5560	680	8308	3346	14716
3346	5560	8367	8902	3887
11342	14931	5418	2755	2631
5418	5418	9669	11342	nan
6983	3488	15650	6291	14836
3488	5045	5612	6253	6983
14612	12058	5067	1755	12551
5067	632	8628	9291	14612
7321	15495	2636	1910	679
2636	7321	4988	4191	nan
2763	15096	1946	8051	7207
1946	14635	2763	9429	8126
6308	11450	12174	12111	nan
7565	8750	10724	429	9814
429	14352	3834	11532	7565
5624	587	15619	8031	5599
5599	5624	3810	15981	11646
4161	3242	4308	15612	5766
15612	2312	4161	4754	7444
10851	1308	1733	nan	nan
15742	1848	9259	9723	7805
1848	4097	7132	15742	nan
13078	5193	6355	6075	7702
5193	9248	597	13078	7702
2708	15696	5308	4011	2908
15696	12024	7610	11816	2708
175	14288	6923	3164	12308
3164	13727	1857	850	175
12289	12625	11654	1261	10318
1261	4689	12289	1261	nan
2168	4640	330	15724	14686
15724	2168	15116	7062	nan
8882	8217	3618	2358	3447
3618	2961	8882	123	6316
7426	5512	8757	469	11998
469	7426	252	2794	8591
7300	4600	8908	14653	8558
1555	1161	4923	6422	7831
4923	4609	3931	1555	8598
9948	12978	1827	5588	5343
5343	12193	6316	419	9948
14311	1161	2101	14501	14655
14501	6584	14777	6253	14311
11756	4826	11890	13109	878
878	7177	11756	12349	3148
14154	6824	14034	629	6437
14034	14034	14154	1737	nan
1037	797	2813	13358	nan
2813	14856	1037	14143	nan
14623	3344	10395	5198	11463
3344	12690	3339	3315	14623
13470	6586	2378	2334	750
2334	11944	9114	10646	13470
3006	3649	11177	2418	5238
11177	1929	4724	6630	3006
1931	4108	6917	3798	167
167	2851	1931	3956	5159
4444	10275	1315	3607	8207
1315	10066	4444	7397	3668
4999	2041	12747	2036	14385
2041	12747	6459	15654	4999
2050	12761	6211	3059	817
12761	10376	2050	10580	8002
7221	523	8460	3059	15495
8460	11450	571	4988	7221
1667	3649	2418	1667	nan
2418	1667	173	3006	13318
1252	15787	1252	5263	nan
8895	5839	15783	nan	nan
15783	14043	8237	87	8895
971	9736	9213	5294	7872
9736	2161	971	13492	nan
7214	6810	739	701	12111
6810	14345	2158	7684	7214
3906	1803	130	6627	13910
6627	6163	3906	1810	1842
10073	6355	6299	5835	7062
6355	10073	10786	1742	13078
9886	14768	817	3772	11272
14768	10481	2486	9886	nan
5818	6832	8449	12970	12612
12970	5257	9905	5818	11045
13769	5944	15293	14038	463
15293	9248	13769	1357	597
6728	12489	9043	3361	2439
2439	6728	14184	14917	1255
6299	10073	15148	13654	15134
13654	14907	6299	366	9823
16049	15036	4835	1876	7501
7501	5969	16049	11187	4598
2847	11944	6195	9701	10712
9701	10872	12112	2847	nan
11975	1459	12621	8031	8327
8327	5952	14660	14926	11975
5108	9537	809	9883	12024
9883	7641	1697	5108	12655
12510	5881	2106	10107	372
2106	10194	13314	13020	12510
8408	10313	4361	10389	9033
4361	8408	12907	11932	10021
3475	10993	5578	15749	8838
10993	10993	3475	5879	nan
10872	15255	9701	2103	nan
12556	13835	11763	1467	8223
11763	2660	2194	12556	14924
9423	569	6452	6319	nan
6452	10047	2358	9423	nan
6211	2050	12284	9557	10902
10902	3032	6211	10440	2607
13445	11144	8747	15383	nan
11144	11066	13445	1759	nan
9709	10066	5235	3316	14005
14005	641	5235	3316	9709
6643	1186	4586	4962	10887
10887	11457	6643	10887	nan
11532	4872	6100	11656	429
4872	12058	8331	11532	nan
6445	1706	13355	9244	5645
5645	4998	6445	1230	254
8755	4873	1324	1510	3359
1324	1748	8755	1708	14431
11249	12241	15322	1507	11251
12241	11249	5554	2203	6513
3782	7504	8131	11572	5062
7504	2121	11086	1810	3782
1824	7313	533	12038	6823
7313	1824	13431	69	9951
5415	12979	2181	13910	8751
2181	5712	14923	5415	nan
6592	6592	338	8620	nan
338	6592	2411	3440	7708
12858	10083	14398	7547	nan
10083	2968	8985	12858	nan
15655	1674	12771	6156	8375
1674	7567	14591	3916	15655
6031	745	4043	11251	nan
745	675	2877	6031	nan
941	11321	9090	14205	9766
9090	2872	1569	941	11385
8420	15961	6738	7061	9529
15961	13336	1177	8420	14717
2235	8440	3009	12227	8599
8440	7336	3881	2235	5998
14578	4115	6175	7828	9215
9215	14578	2963	9492	9677
13650	6624	14401	9112	2337
6624	5793	13650	5931	11540
498	15888	13290	9493	14942
9493	9137	498	15986	1447
3859	7792	4974	6566	nan
6566	3859	13467	13311	nan
9095	608	9193	12993	5127
9193	11600	5885	5454	9095
4600	7300	14306	15148	3477
15148	4600	6299	14396	14389
5907	2029	13613	590	11639
11639	3945	3482	5907	4911
2794	13785	3754	9972	469
6228	528	3219	12974	2591
3219	9136	5873	6228	5191
13798	1369	6805	11142	6535
6535	10402	9714	3316	13798
3316	6535	9709	14005	13351
14595	511	12799	9479	nan
9479	3024	11371	14595	nan
4749	10280	13801	10289	15255
13801	9181	8452	4749	10295
3024	14448	11233	9479	10839
14448	3024	2163	10740	13199
10813	15328	10537	7107	9939
10537	7696	14101	12485	10813
13463	1592	8208	8187	9845
1592	6992	8688	9845	13463
12613	14504	11847	9638	8896
14504	8987	12145	5155	12613
7107	9594	14844	10813	14366
5239	8208	16101	5239	nan
16101	4899	955	14887	5239
12247	9033	10066	7397	nan
10066	5769	1315	9709	12247
8205	8985	8666	3459	2621
8666	5273	3971	14372	8205
9358	14865	11718	7670	nan
7670	3645	12796	2501	9358
14175	2411	13851	1405	8463
13851	9679	12539	14175	nan
15333	11457	8946	7187	12103
12103	8608	2737	12379	15333
7684	1520	6882	4178	6810
7625	10008	16	5731	6444
5731	7625	15769	7049	10906
5845	904	4259	12276	12055
904	15584	4259	5845	13942
9415	4720	590	nan	nan
590	6985	5907	3596	9415
15739	4570	4364	421	7894
7894	6055	15739	11710	8551
11916	10361	11531	3934	4231
10361	2851	6459	11916	7902
8404	13888	11809	10282	5430
13888	6884	8404	8988	13822
14398	2968	12858	3774	6006
5308	3392	13756	2595	2708
2595	3952	11769	123	5308
9248	5193	10786	15293	14095
15429	6707	11603	7317	14291
7317	12692	554	6764	15429
9704	9704	8289	13556	nan
8289	9704	7895	8549	3215
14120	256	414	6868	3382
6868	14120	13161	2548	13288
2923	13041	7706	13743	nan
7706	12808	5802	2923	44
9931	13464	14137	12051	324
13464	9931	13163	6358	324
12588	11830	11554	9221	4414
4414	12588	4414	2495	nan
6702	10962	16042	7186	6358
6358	9481	9393	13464	6702
15301	13977	2602	2858	12615
2602	5087	8396	15301	12615
2190	13494	2190	10815	nan
10815	8296	5164	2190	5191
14567	15400	10818	6805	12495
6805	10175	4313	13798	14567
8316	8316	10075	7548	nan
12943	5880	8061	5958	9935
8061	1208	11818	15223	12943
12254	2553	3858	658	12522
3858	1534	1694	12254	nan
2319	11497	4474	14387	9638
9638	4474	6555	12613	2319
1793	3520	2107	6011	979
2107	1793	15196	9301	15798
14246	11273	3490	8141	10022
11273	5762	12995	14246	5347
9535	5212	8149	4108	11647
11647	5833	963	5437	9535
15884	6000	3681	14194	6236
6236	9272	7402	15884	7902
2203	3408	12241	5331	4063
5331	5251	2203	11900	8149
9272	5656	2737	6100	6236
2737	9272	15092	7693	12103
8606	4304	14898	11666	nan
4304	5374	8606	2326	nan
5251	674	9699	5331	9150
9699	15275	15289	5251	13789
12242	4009	3490	4805	8375
8375	12242	15655	8375	nan
12530	8952	1970	14735	6911
6911	11753	12530	804	3645
9697	13088	1907	3956	10419
13088	9697	69	11749	13431
13375	302	8897	11074	11486
8897	12496	12778	14125	13375
7641	9883	15863	nan	nan
5762	2368	11273	8620	nan
2368	5762	2810	3757	nan
4231	1912	11243	11916	8399
1912	6219	5046	10534	4231
639	1683	7924	639	nan
1683	4017	1877	12654	639
1876	16049	6793	9334	1994
11634	4529	14523	12188	10062
12188	5791	11634	7452	6055
11772	178	11772	9983	nan
178	5576	10610	14011	11772
15986	14808	14263	9493	1359
1359	6600	15986	12260	1663
5895	15152	4	13477	416
15152	14188	9537	100	5895
9274	10064	8394	4122	4502
10064	15344	9274	15284	4502
2676	13161	10074	9179	15814
9179	12698	2676	15814	nan
1178	11609	2316	4462	15929
11609	1178	6054	2980	3430
5127	1085	5075	14797	9095
3432	12695	8232	5060	8247
8247	3432	12856	14652	13669
6003	4521	12396	1837	15847
12396	14624	6003	3741	1440
1729	9936	7129	15593	6640
9936	1729	15658	6620	13833
10740	14448	9857	7208	6555
415	12537	1147	3852	5157
1147	2479	14643	2515	415
2039	13752	1344	4013	15430
4013	5690	7587	13941	2039
10396	11368	6480	14108	2192
11368	15952	2858	10396	15125
13934	15002	6436	8573	4910
8573	15073	7563	13934	4382
5960	13520	8114	4523	10870
13520	5960	6830	14998	14103
8693	11194	5093	13682	8959
8959	12136	4667	8693	6727
14453	4368	10240	11106	12704
11106	3928	14453	7950	6670
10165	4272	5730	7493	15015
15015	1945	8965	10165	8711
6852	12329	13313	3898	6823
6823	1824	4065	6852	3269
11799	5626	1180	10029	9508
1180	8608	13474	8679	11799
5201	627	8424	3019	13483
3019	4272	5201	2420	8305
11442	8240	11065	7059	6524
6524	8240	11442	13683	4156
5888	5715	8803	2283	2631
15284	10064	4753	1010	1860
1860	1896	8132	15284	14256
11419	11210	9268	101	12023
9268	3815	11419	12238	10775
3490	3761	12242	1395	14246
1395	3490	12995	253	11590
8357	10943	11951	5986	3135
3135	10874	15020	8357	5927
6718	12408	1537	15582	13630
12408	6147	8974	6718	4567
3442	3986	7645	4606	7935
7935	1032	3442	5628	3620
15036	11360	16049	14389	14439
9925	7336	5079	15542	2582
7336	8440	9925	1454	6311
915	8738	915	8951	nan
8951	15983	15897	915	5079
13420	10225	4115	12227	10575
10575	14256	13420	1557	8527
9491	12209	818	2316	3177
12209	5971	3163	9491	11815
4115	14578	13420	1454	2214
10705	14080	13457	13494	5942
14080	11888	10705	15826	12063
7403	12057	11665	6109	12799
6109	2992	4913	7403	5942
13874	13874	14379	3382	nan
14379	4905	13874	7867	3382
8577	3425	10586	11396	1906
10586	4649	8577	14016	5169
1677	7425	12123	4078	2639
7425	9749	1677	5790	5719
4710	5010	13938	9749	1534
5010	2506	15867	365	4710
4827	633	7314	1153	11076
14339	13938	4626	658	1703
13938	4710	14339	15916	2614
8955	9216	296	6869	3430
9216	8955	4054	7150	4719
3406	13192	2571	492	2926
2571	2571	3406	7871	nan
15914	12662	11396	5932	8806
11396	2369	15914	8577	4142
14103	13520	14995	3916	10686
6922	13200	992	4338	7517
13200	12102	6922	9909	1278
13076	2299	13300	15167	10491
2299	15328	4715	13076	5166
10029	11690	3269	4150	11799
3269	585	10029	3070	6823
6273	2315	14124	653	nan
14124	4425	6273	6746	13009
14201	1015	10587	12855	nan
12855	14201	15419	6636	nan
3569	3082	15651	3301	14870
3082	11560	3569	5730	1579
15717	6880	6221	8781	10360
6880	8953	7650	15717	2658
7567	12144	3937	1674	nan
3937	11156	8141	7567	nan
11120	200	13194	5830	14320
13194	11120	11993	13630	10775
12508	15970	10971	14148	10370
15970	10370	1059	12508	9887
993	8928	5697	9280	15141
8928	9280	993	10763	15399
8612	5896	13664	12563	3716
5896	11344	15969	8612	8996
4768	14148	8988	13100	8527
14148	4768	1404	12508	5430
3536	10979	7175	nan	nan
7175	3536	14346	3213	nan
8714	1281	10002	11173	5137
10002	8480	2729	8714	2139
9677	15816	14934	13998	9215
14943	9808	15242	1819	9455
15242	1616	10809	983	14943
3009	2088	13865	2235	3129
15897	10520	6297	8764	8951
6297	15897	7882	5596	4502
5668	14729	12599	9382	1719
1719	9119	5668	10847	10079
13177	9768	15249	1714	6470
9768	3856	13177	14906	9183
3741	14228	12396	14814	15436
8444	11748	3050	15923	15060
15923	4282	5451	8444	15060
8396	1208	2602	15867	6054
10321	1440	7889	543	14327
14327	10321	11031	9749	5727
2336	5538	1906	3636	10662
1906	2336	8577	15590	nan
12224	13256	4393	15602	8983
15602	12224	8705	7142	5175
7946	8536	14505	15699	7029
8536	7512	7946	1866	11543
6727	8959	11828	8055	nan
11828	8055	10686	6727	nan
7029	11474	7946	8355	4662
6706	12329	12075	9028	11551
12329	6706	13715	6852	8790
13192	1740	14518	3406	8335
1250	4264	1345	4523	2696
4264	11928	1250	10084	5646
3711	1325	15941	3405	3414
3414	14489	3018	6927	3711
10500	4546	14995	9964	13340
9964	5306	14554	12603	10500
2	8400	14625	6453	14614
14625	2400	2	7324	2911
5455	4920	544	421	nan
421	6503	554	15739	5455
13872	13929	5570	11724	1253
5570	13872	15099	7245	11479
15654	4065	6219	2041	10534
4065	11679	3573	15654	6823
11993	13194	14947	2726	10775
10046	15816	14283	15222	2143
14283	2143	15476	10046	11143
8926	8584	10170	12144	14493
8584	8584	8926	3535	nan
7066	4739	14963	10276	2261
14963	12730	4241	7066	13638
1813	4865	12538	3644	5079
4865	1635	4484	1813	351
13998	3368	2120	9677	14934
14346	4920	9866	4364	7175
4364	14346	15739	9547	4989
1954	3857	3787	15476	3863
15476	12835	1954	14283	12135
10062	9270	11634	9846	nan
15262	14776	5875	5884	5156
5875	9987	15335	15262	5735
8658	12265	5222	8563	5926
12265	11937	8658	14122	13975
917	7508	1383	10622	13303
13303	7889	1010	917	10622
11465	10080	5400	11874	14820
14820	9297	11465	2554	nan
6520	2096	15113	7704	5637
2096	6520	8716	8220	14142
10662	2336	2042	4910	nan
2042	14483	7614	10662	nan
2141	13645	2756	5366	8238
2756	7653	2340	2141	12127
9749	3913	7425	4710	14327
13915	14409	1089	8482	11032
1089	13915	7820	1812	4279
11259	8659	7997	15414	4639
4639	14101	7685	11259	14477
7810	3137	7810	7101	nan
3137	7810	92	10060	5215
3425	8577	5538	9021	1631
14108	11928	5068	10396	nan
11928	4264	4730	10084	14108
12086	7552	3345	15315	13189
15361	4777	15002	1209	4951
4777	15361	1114	2491	8110
14487	13659	11748	2926	nan
11748	8424	6747	8444	14487
12038	1824	3961	2147	15582
3702	3385	5932	1437	10054
10054	5532	3524	3702	8023
5913	9352	13313	9178	2537
9352	5913	13690	11981	15030
2876	16006	6477	4349	558
558	14123	14673	5795	2876
8624	6968	1930	5557	11421
6968	8624	3323	5208	9101
4943	583	4943	1559	nan
1559	15280	11274	7775	4943
11316	12023	15348	2911	nan
2911	14625	11316	7950	nan
3427	1328	5642	7843	180
1402	2120	4570	2747	15218
2747	5422	1402	6803	6526
3390	4739	13459	5156	7822
7822	11065	14206	3390	12679
3368	2785	15180	13141	13998
13141	3368	15806	13247	nan
12977	15056	5402	15806	12135
15056	12977	8860	12478	nan
7922	4355	13732	13238	7155
14627	1128	355	13560	863
1128	15386	14627	1789	6342
14510	12592	7520	14510	nan
3389	5653	4122	13227	2131
4122	9274	3389	4270	5854
3625	8162	10157	1166	3639
3639	2323	3625	8346	9121
10225	9160	13420	4877	8764
4877	7489	10225	5628	4085
10622	7258	156	917	13303
156	9558	7563	3550	10622
9395	13305	12084	8901	nan
13305	9395	10084	2807	nan
3209	9321	10619	6684	7222
7222	3209	8482	12782	5398
15428	10041	412	2820	6487
412	12940	15428	5366	12343
2926	14487	7430	3406	6127
2287	238	1166	2287	nan
8599	13992	4595	2235	14919
14919	5765	5565	238	8599
15578	13976	16028	10547	7676
7676	15578	13054	nan	nan
12015	15430	11586	3013	14198
11586	491	11676	13911	12015
5622	6072	1234	4008	6118
6118	14505	11577	5622	12127
14505	12560	7946	1885	6118
12560	14505	13054	nan	nan
9196	9505	4434	11381	8589
11171	3880	9369	7683	8395
7683	11171	4949	11493	13031
11991	11019	14035	8652	5040
14035	7259	5389	6735	11991
3673	1993	9850	10748	14046
1993	3673	4452	15613	16006
8867	1632	10122	9651	nan
9651	15024	8867	13211	1127
134	14760	869	771	1781
1781	10911	7089	134	2855
257	7073	2915	5355	6178
5355	4417	257	13504	10191
13384	5738	1980	9348	4165
5738	13384	6993	2789	3222
13189	7752	14579	12086	8643
6993	15984	5738	9915	1671
3222	5738	11915	1980	8972
1980	13384	283	11724	3222
15651	688	3569	1513	2597
2597	13697	10346	15651	15341
1328	3427	5713	8107	6686
5915	248	9250	4894	5335
248	2331	5915	14060	14822
12029	5400	9321	8394	1166
5400	9832	11465	5930	12029
10276	576	7066	11132	14511
14511	3328	10882	10276	14255
3622	537	12226	16003	8132
8132	13473	13100	3622	1860
1612	12131	16038	11111	nan
16038	12131	1612	14749	15188
10209	10209	8026	1418	nan
8026	10209	10525	7223	2873
2012	15720	3632	6909	6399
6909	16031	12391	2012	13908
13719	2873	9077	5659	14269
8104	15562	5146	5379	14653
11102	9908	7204	11102	nan
5761	5761	14802	nan	nan
14802	5761	11338	12341	nan
2088	3009	8394	11757	3134
11757	2088	12611	10157	238
11658	7344	14649	13347	10769
238	11597	11757	14919	2287
9077	11032	14649	11732	13719
14741	6536	6769	3707	6900
3707	12827	12339	14741	14
6315	10592	2320	9355	10725
9355	10858	6315	13965	13335
13849	10592	7184	12475	11591
771	5936	601	134	10671
601	771	11796	606	14119
12475	13849	7089	14230	7823
14247	2789	1193	15097	1247
1193	8686	14046	9438	14247
5752	8784	1545	1930	14046
1545	5752	1545	6221	nan
6270	6008	1285	1740	6213
1740	13192	7580	6270	2095
5133	13947	5972	14054	14167
14167	2841	5133	8335	nan
11281	15280	2611	13723	7615
7615	11281	215	11250	8423
15366	8810	12564	8538	2471
2471	3684	3555	12884	15366
7775	14872	12559	1062	1559
