44201	-1	-1	-1
45531	33169	-1	-1
3989	21996	-1	-1
4837	-1	-1	-1
6156	-1	-1	-1
9530	-1	-1	-1
75249	508	-1	-1
57336	509	-1	-1
71846	-1	6986	-1
23185	-1	-1	77289
4956	-1	61564	-1
8156	513	-1	-1
17390	-1	-1	70732
41758	363	48971	70226
1788	516	-1	-1
35833	-1	-1	-1
65516	-1	-1	-1
3602	-1	-1	71335
39750	-1	-1	57061
34354	17643	18732	69717
55607	-1	-1	-1
1827	29044	69689	-1
77430	-1	-1	-1
26606	-1	-1	-1
37159	-1	46139	70840
78421	9892	72268	78510
66363	-1	70038	72419
52290	-1	-1	-1
17755	-1	26130	47401
10023	531	-1	-1
1150	-1	-1	-1
69382	-1	-1	-1
16920	534	-1	-1
57785	535	-1	-1
20210	536	-1	-1
66419	13170	-1	-1
17219	-1	-1	-1
4176	539	-1	-1
59555	9619	17537	62330
42453	-1	-1	-1
71570	-1	-1	77084
72027	543	-1	-1
22645	-1	62558	-1
77666	-1	-1	-1
43692	-1	-1	-1
48255	-1	-1	-1
56771	-1	-1	-1
16062	-1	-1	-1
16852	-1	-1	74731
55387	-1	-1	-1
5853	-1	-1	71862
60669	-1	-1	-1
61759	328	1014	68484
47441	555	-1	-1
78071	-1	35702	-1
2777	-1	-1	69947
5787	-1	-1	-1
13937	30201	-1	-1
39239	-1	-1	-1
66117	-1	-1	-1
68613	4001	38049	-1
59628	-1	-1	-1
31686	-1	-1	-1
712	724	27030	-1
1834	-1	-1	-1
4416	-1	-1	-1
80432	-1	-1	-1
58913	25688	-1	-1
80248	570	-1	-1
18547	-1	-1	-1
55446	-1	-1	-1
59200	573	-1	-1
48280	-1	-1	-1
56643	-1	-1	-1
12547	7420	69947	72461
24080	-1	-1	-1
50015	-1	57056	72131
35465	-1	-1	-1
56066	-1	-1	-1
76371	275	-1	-1
74005	9656	-1	-1
66279	-1	-1	-1
60775	-1	-1	-1
52607	-1	-1	-1
47424	7131	-1	-1
35807	587	-1	-1
4872	-1	-1	-1
439	2144	-1	-1
64430	-1	-1	-1
16313	-1	-1	-1
19498	-1	-1	77256
5847	-1	-1	-1
17022	-1	27134	-1
30442	-1	-1	-1
28130	-1	-1	-1
48601	597	-1	-1
73068	598	-1	-1
16756	-1	64118	-1
40929	-1	-1	-1
4870	-1	-1	-1
50518	-1	66951	-1
64018	-1	69539	-1
33120	14361	42558	58821
11063	-1	-1	-1
21283	-1	-1	-1
26201	-1	14396	-1
65109	1143	-1	-1
75880	-1	-1	-1
66196	-1	-1	-1
4924	-1	-1	-1
24034	11689	21471	-1
74731	-1	-1	-1
76086	-1	-1	-1
38244	-1	-1	-1
65057	-1	33544	-1
2303	-1	-1	-1
21901	-1	-1	-1
56254	-1	-1	-1
48871	-1	-1	-1
25760	-1	-1	-1
26806	-1	25126	-1
49154	-1	-1	-1
46191	-1	-1	-1
58322	-1	-1	-1
17921	-1	-1	45560
35813	627	-1	-1
64823	-1	-1	-1
52283	-1	-1	-1
50558	-1	-1	-1
49674	-1	38394	-1
35061	-1	-1	-1
22079	-1	-1	-1
46702	-1	-1	-1
41478	-1	-1	-1
47013	-1	-1	-1
69327	637	-1	-1
60336	-1	-1	-1
8500	-1	75336	-1
9253	-1	-1	-1
20075	-1	-1	-1
25320	-1	-1	-1
36293	18743	-1	-1
17520	6211	34855	45861
68999	-1	-1	73263
28188	-1	-1	-1
50266	-1	-1	-1
37117	34050	67491	68950
67353	-1	43405	56857
17731	-1	-1	-1
50634	2429	-1	-1
27418	-1	-1	-1
42776	-1	-1	63840
56967	-1	-1	-1
17595	-1	-1	-1
64414	-1	-1	-1
60564	55069	60410	-1
37191	-1	-1	-1
28817	-1	-1	-1
74762	-1	-1	72630
54098	-1	-1	-1
57044	21339	62108	-1
40450	-1	-1	-1
24315	-1	38553	-1
